StudyPartID,StoryTopicID,Predictability,PredictID,TextID,SP2ConID,StoryTitle,Order,StoryText
2,T1P1,Yes,1,SP2T1P101,1,The Coffee Shop,1,"Teddy worked in a small but very popular coffee shop located near the center of the city. The shop had large windows that allowed sunlight to stream in during the morning, and on this particular day, the sky was clear and bright, giving the entire space a warm glow. Customers flowed steadily through the door, creating a lively atmosphere filled with the scent of freshly ground coffee beans and the gentle hum of soft background music. Teddy moved efficiently behind the counter, preparing drinks, calling out orders, and greeting regular customers with familiar smiles. He enjoyed days like these when good weather brought more people out, filling the shop with conversations, laptops, notebooks, and the comforting rhythm of daily routines. Despite the continuous rush, he remained calm and attentive, making sure each drink was made properly and every customer felt welcomed. The morning passed quickly as Teddy worked through one order after another, until he finally noticed a young woman who had taken a seat by the window with her laptop open. She appeared focused, typing quickly while sipping the latte she had just purchased. Teddy paid little attention at first, assuming she was simply another customer settling into her usual work habits. He had no idea he would soon be directly involved in her morning."
2,T1P1,Yes,1,SP2T1P102,1,The Coffee Shop,2,"The young woman sat at the same table many customers preferred—near an outlet and touched by natural light. She wore a simple beige sweater and had tied her hair loosely behind her head, giving her a calm and studious appearance. From where Teddy stood, he could see her concentrating on her screen, occasionally pausing to take notes or adjust her glasses. The coffee shop remained busy, with people coming in to grab to-go cups, meeting friends, or settling down to work just like she did. Although Teddy was used to the ebb and flow of customers, he occasionally glanced toward her table when he had a free moment. Something about her quiet focus made her stand out in the bustling environment. As the minutes passed, Teddy noticed her expression change. The young woman pressed a key several times, frowned, and then tapped the side of the laptop as if hoping it would respond. The screen suddenly froze, leaving her staring at an unresponsive page. She tried to restart the device, but nothing happened. Her shoulders tensed, and she let out a small sigh of frustration. Around her, customers continued chatting and typing, unaware of her growing concern. Teddy sensed something was wrong, and although he was uncertain whether he should intervene, he kept her in his peripheral vision, waiting to see if she might need assistance."
2,T1P1,Yes,1,SP2T1P103,1,The Coffee Shop,3,"A few minutes later, the woman closed her eyes briefly as if trying to calm herself. She pressed the power button again, but the laptop remained dark and unresponsive. It was clear that she could no longer continue her work. She glanced around the café, perhaps hoping someone nearby might understand technology better than she did. Some customers were engaged in meetings over headphones, while others were deep in conversation. Teddy felt a small tug of responsibility. Although he was not a technician, he often helped people with minor issues like connecting to the Wi-Fi or finding a power outlet. He approached her table politely during a lull in the orders. In a soft, professional tone, he asked whether she needed help. The woman looked up, surprised but relieved to be acknowledged. She explained that her laptop had suddenly stopped working and that she had an important task to complete. Teddy asked if she would allow him to take a quick look. She agreed, moving aside to give him room. He gently lifted the device, checked the power indicator, and pressed a combination of keys to reset the hardware—a simple trick he had learned from a friend. After a few seconds, the screen flickered back to life. The woman gasped with visible relief, her shoulders finally relaxing."
2,T1P1,Yes,1,SP2T1P104,1,The Coffee Shop,4,"Once the laptop successfully restarted, Teddy stepped back, giving her space to verify that everything was functioning properly. She clicked through several tabs, tested her keyboard, and checked the file she had been working on. Everything appeared normal, and color returned to her face as she realized her progress had not been lost. She looked up at Teddy with genuine gratitude, thanking him several times for stepping in at the right moment. Teddy nodded modestly, insisting it had been a very small fix and that anyone could have done it. The woman shook her head, explaining that she had been under significant time pressure and that his help had prevented her from losing valuable work. A few nearby customers briefly observed the interaction, smiling at the small but meaningful exchange. As Teddy prepared to return to the counter, she asked for his name and repeated her thanks with a sincerity that made him pause. He told her his name, slightly embarrassed by the attention, then excused himself when new customers approached the register. As he resumed his tasks, he occasionally glanced toward her table. She appeared far calmer now, typing steadily once more. Teddy felt quietly satisfied, knowing that a simple action had made someone’s morning a little easier."
2,T1P1,Yes,1,SP2T1P105,1,The Coffee Shop,5,"About fifteen minutes later, the café had settled into a comfortable rhythm again. People continued moving in and out, carrying paper cups and weaving between tables. The young woman eventually closed her laptop with a sense of completion and walked back to the counter. Teddy looked up, prepared to take another order, but she held no menu or cup. Instead, she placed a new drink—a cappuccino—onto the counter and gently pushed it toward him. She explained that she had ordered it specifically for him as a gesture of thanks. Teddy was momentarily taken aback. Employees rarely received drinks from customers, and he was not accustomed to being on the receiving end of such gestures. She insisted that he accept it, emphasizing how much his help had meant to her. After a brief hesitation, he thanked her sincerely and accepted the warm cup. It smelled rich and slightly sweet, a pleasant contrast to the busy atmosphere around him. The young woman smiled, waved lightly, and returned to her seat to pack her belongings. Although the café remained as lively as ever, that small moment stood out to Teddy, adding a gentle brightness to his workday."
2,T1P1,Yes,1,SP2T1P106,1,The Coffee Shop,6,"Later in the afternoon, when the coffee shop grew quieter, Teddy took a brief break and finally drank the cappuccino she had given him. It had cooled slightly, but the flavor remained smooth and comforting. He sat by the window for a moment, observing the passing crowds and reflecting on the morning’s events. Nothing extraordinary had happened: no major incident, no dramatic twist, no unusual customer behavior. Yet the small interaction reminded him why he appreciated his work. The coffee shop was not merely a place where drinks were made; it was a space where everyday lives intersected, sometimes in simple but meaningful ways. The young woman had already left, and Teddy did not expect to see her again. Still, the exchange lingered in his thoughts. It reaffirmed his belief that small acts of kindness, even something as ordinary as restarting a malfunctioning laptop, could make a noticeable difference to someone’s day. When his break ended, Teddy returned to the counter with renewed energy. The sun was still bright outside, customers continued to drift in and out, and the café felt warm and familiar. Teddy resumed his tasks, carrying with him the quiet satisfaction of having helped someone, and the unexpected kindness he received in return."
2,T1P0,No,0,SP2T1P001,0,The Coffee Shop,1,Text
2,T1P0,No,0,SP2T1P002,0,The Coffee Shop,2,Text
2,T1P0,No,0,SP2T1P003,0,The Coffee Shop,3,Text
2,T1P0,No,0,SP2T1P004,0,The Coffee Shop,4,Text
